Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,0,0,0,1,0,5849,0,477,360,1,1,1
LP001003,0,1,1,1,0,4583,1508,128,360,1,0,0
LP001005,0,1,0,1,1,3000,0,66,360,1,1,1
LP001006,0,1,0,0,0,2583,2358,120,360,1,1,1
LP001008,0,0,0,1,0,6000,0,141,360,1,1,1
LP001011,0,1,2,1,1,5417,4196,267,360,1,1,1
LP001013,0,1,0,0,0,2333,1516,95,360,1,1,1
LP001014,0,1,3,1,0,3036,2504,158,360,0,0,0
LP001018,0,1,2,1,0,4006,1526,168,360,1,1,1
LP001020,0,1,1,1,0,12841,10968,349,360,1,1,0
LP001024,0,1,2,1,0,3200,700,70,360,1,1,1
LP001027,0,1,2,1,0,2500,1840,109,360,1,1,1
LP001028,0,1,2,1,0,3073,8106,200,360,1,1,1
LP001029,0,0,0,1,0,1853,2840,114,360,1,0,0
LP001030,0,1,2,1,0,1299,1086,17,120,1,1,1
LP001032,0,0,0,1,0,4950,0,125,360,1,1,1
LP001034,0,0,1,0,0,3596,0,100,240,1,1,1
LP001036,1,0,0,1,0,3510,0,76,360,0,1,0
LP001038,0,1,0,0,0,4887,0,133,360,1,0,0
LP001041,0,1,0,1,0,2600,3500,115,360,1,1,1
LP001043,0,1,0,0,0,7660,0,104,360,0,1,0
LP001046,0,1,1,1,0,5955,5625,315,360,1,1,1
LP001047,0,1,0,0,0,2600,1911,116,360,0,0,0
LP001050,1,1,2,0,0,3365,1917,112,360,0,0,0
LP001052,0,1,1,1,0,3717,2925,151,360,1,0,0
LP001066,0,1,0,1,1,9560,0,191,360,1,0,1
LP001068,0,1,0,1,0,2799,2253,122,360,1,1,1
LP001073,0,1,2,0,0,4226,1040,110,360,1,1,1
LP001086,0,0,0,0,0,1442,0,35,360,1,1,0
LP001087,1,0,2,1,1,3750,2083,120,360,1,0,1
LP001091,0,1,1,1,0,4166,3369,201,360,1,1,0
LP001095,0,0,0,1,0,3167,0,74,360,1,1,0
LP001097,0,0,1,1,1,4692,0,106,360,1,0,0
LP001098,0,1,0,1,0,3500,1667,114,360,1,0,1
LP001100,0,0,3,1,0,12500,3000,320,360,1,0,0
LP001106,0,1,0,1,0,2275,2067,6334,360,1,1,1
LP001109,0,1,0,1,0,1828,1330,100,180,0,1,0
LP001112,1,1,0,1,0,3667,1459,144,360,1,1,1
LP001114,0,0,0,1,0,4166,7210,184,360,1,1,1
