Gender,Married,Education,Self Employed,Applicant Income per month (INR),Loan Amount (INR),Loan Amount Term (months),Credit History,Property Area
0,0,1,0,5849,477,360,1,1
0,1,1,0,4583,128,360,1,0
0,1,1,1,3000,66,360,1,1
0,1,0,0,2583,120,360,1,1
0,0,1,0,6000,141,360,1,1
0,1,1,1,5417,267,360,1,1
0,1,0,0,2333,95,360,1,1
0,1,1,0,3036,158,360,0,0
0,1,1,0,4006,168,360,1,1
0,1,1,0,12841,349,360,1,1
0,1,1,0,3200,70,360,1,1
0,1,1,0,2500,109,360,1,1
0,1,1,0,3073,200,360,1,1
0,0,1,0,1853,114,360,1,0
0,1,1,0,1299,17,120,1,1
0,0,1,0,4950,125,360,1,1
0,0,0,0,3596,100,240,1,1
1,0,1,0,3510,76,360,0,1
0,1,0,0,4887,133,360,1,0
0,1,1,0,2600,115,360,1,1
0,1,0,0,7660,104,360,0,1
0,1,1,0,5955,315,360,1,1
0,1,0,0,2600,116,360,0,0
1,1,0,0,3365,112,360,0,0
0,1,1,0,3717,151,360,1,0
0,1,1,1,9560,191,360,1,0
0,1,1,0,2799,122,360,1,1
0,1,0,0,4226,110,360,1,1
0,0,0,0,1442,35,360,1,1
1,0,1,1,3750,120,360,1,0
0,1,1,0,4166,201,360,1,1
0,0,1,0,3167,74,360,1,1
0,0,1,1,4692,106,360,1,0
0,1,1,0,3500,114,360,1,0
0,0,1,0,12500,320,360,1,0
0,1,1,0,2275,6334,360,1,1
0,1,1,0,1828,100,180,0,1
1,1,1,0,3667,144,360,1,1
0,0,1,0,4166,184,360,1,1
0,0,0,0,3748,110,360,1,0
0,0,1,0,3600,80,360,1,1
0,0,1,0,1800,47,360,1,1
0,1,1,0,2400,75,360,0,1
0,1,1,0,3941,134,360,1,0
0,1,0,1,4695,96,360,1,1
1,0,1,0,3410,88,120,1,1
0,1,1,0,5649,44,360,1,1
0,1,1,0,5821,144,360,1,1
1,1,1,0,2645,120,360,0,1
1,0,1,0,4000,144,360,1,0
1,1,0,0,1928,100,360,1,1
1,0,1,0,3086,120,360,1,0
1,0,1,0,4230,112,360,1,0
0,1,1,0,4616,134,360,1,1
1,1,1,1,11500,286,360,0,1
0,1,1,0,2708,97,360,1,0
0,1,1,0,2132,96,360,1,0
0,1,1,0,3366,135,360,1,0
0,1,1,0,8080,180,360,1,1
0,1,0,0,3357,144,360,1,1
0,1,1,0,2500,120,360,1,1
0,1,1,0,3029,99,360,1,1
0,1,0,1,2609,165,180,0,0
0,1,1,0,4945,234,360,0,0
1,0,1,0,4166,116,360,0,0
0,1,1,0,5726,258,360,1,1
0,0,0,0,3200,126,180,0,1
0,1,1,0,10750,312,360,1,1
0,1,0,1,7100,125,60,1,1
1,0,1,0,4300,136,360,0,0
0,1,1,0,3208,172,360,1,1
0,1,0,1,1875,97,360,1,0
0,0,1,0,3500,81,300,1,0
0,1,0,0,4755,95,240,0,0
0,1,1,1,5266,187,360,1,0
0,0,1,0,3750,113,480,1,1
0,0,1,0,3750,176,360,1,1
0,1,1,1,1000,110,360,1,1
0,1,1,0,3167,180,300,0,0
0,1,0,1,3333,130,360,1,0
1,0,1,0,3846,111,360,1,1
0,1,1,1,2395,786,360,1,0
1,1,1,0,1378,167,360,1,1
0,1,1,0,6000,265,360,1,1
0,1,1,0,3988,50,240,1,1
0,0,1,0,2366,136,360,1,0
0,1,0,0,3333,99,360,1,1
0,1,1,0,2500,104,360,1,1
0,0,1,0,8566,210,360,1,1
0,1,1,0,5695,175,360,1,0
0,1,1,0,2958,131,360,1,1
0,1,1,0,6250,188,180,1,0
0,1,0,0,3273,81,360,1,1
0,0,1,0,4133,122,360,1,1
0,0,0,0,3620,25,120,1,0
0,0,1,1,6782,5500,360,1,1
1,1,1,0,2484,137,360,1,1
0,1,1,0,1977,50,360,1,1
0,1,0,0,4188,115,180,1,0
0,1,1,0,1759,131,360,1,1
0,1,0,0,4288,133,180,1,1
0,0,1,0,4843,151,360,1,0
0,1,1,0,13650,456,360,1,1
0,1,1,0,4652,1200,360,1,0
0,0,1,0,3816,160,360,1,1
0,1,1,0,3052,100,360,1,1
0,1,1,0,11417,225,360,1,1
0,0,0,1,7333,120,360,1,0
0,1,1,0,3800,216,360,0,1
0,1,0,0,2071,94,480,1,0
0,0,1,0,5316,136,360,1,1
1,1,1,0,2929,139,360,1,1
0,1,0,0,3572,152,120,0,0
1,0,1,1,7451,765,360,1,0
0,0,1,1,5050,118,360,1,1
0,1,1,0,14583,185,180,1,0
1,1,1,0,3167,154,360,1,0
0,1,1,0,2214,85,360,0,1
0,1,1,0,5568,175,360,1,0
1,0,1,0,10408,259,360,1,1
0,1,1,0,5667,180,360,1,0
1,0,1,0,4166,44,360,1,1
1,0,1,0,2137,137,360,0,0
0,1,1,0,2957,81,360,1,1
0,1,0,0,4300,194,360,1,0
1,0,1,0,3692,93,360,0,0
1,1,1,0,23803,370,360,1,0
0,0,1,0,3865,76,360,1,0
0,1,1,1,10513,160,180,0,1
0,1,1,0,6080,182,360,1,0
0,0,1,1,20166,650,480,1,1
0,0,1,0,2014,74,360,1,1
0,0,1,0,2718,70,360,1,1
0,1,1,1,3459,25,120,1,1
0,0,1,0,4895,102,360,1,0
0,1,1,0,4000,290,360,1,0
1,1,1,0,4583,84,360,1,0
0,1,1,1,3316,88,360,1,1
0,0,1,0,14999,242,360,0,0
0,1,0,0,4200,129,360,1,0
0,1,1,0,5042,185,360,1,0
0,0,1,0,5417,168,360,1,1
0,0,1,1,6950,175,180,1,0
0,1,1,0,2698,122,360,1,1
0,1,1,0,11757,187,180,1,1
1,1,1,0,2330,100,360,1,0
1,1,1,0,14866,70,360,1,1
0,1,1,0,1538,30,360,1,1
1,0,1,0,10000,225,360,1,0
0,1,1,0,4860,125,360,1,1
0,0,1,0,6277,118,360,0,0
0,1,1,1,2577,152,360,1,0
0,0,1,0,9166,244,360,1,1
0,1,0,0,2281,113,360,1,0
0,0,1,0,3254,50,360,1,1
0,1,1,0,39999,600,180,0,0
0,1,1,0,6000,160,360,1,0
0,1,1,0,9538,187,360,1,1
0,0,1,1,2980,120,360,1,0
0,1,1,0,4583,255,360,1,1
0,1,0,0,1863,98,360,1,0
0,1,1,0,7933,275,360,1,1
0,1,1,0,3089,121,360,0,0
0,1,1,0,4167,158,360,1,0
0,1,1,0,9323,75,180,1,1
0,1,1,0,3707,182,120,1,0
1,1,1,0,4583,112,360,1,0
0,1,1,0,2439,129,360,1,0
0,0,1,0,2237,63,480,0,0
0,1,1,0,8000,200,360,1,1
0,1,0,1,1820,95,360,1,0
1,1,1,0,51763,700,300,1,1
0,1,0,0,3522,81,180,1,0
0,1,1,0,5708,187,360,1,0
0,1,0,1,4344,87,360,1,1
0,1,1,0,3497,116,360,1,0
0,1,1,0,2045,101,360,1,0
0,1,1,0,5516,495,360,0,0
0,1,1,0,3750,116,360,1,0
0,0,0,0,2333,102,480,0,1
0,1,1,0,6400,180,360,0,1
0,0,1,0,1916,67,360,1,0
0,1,1,0,4600,73,180,1,0
0,1,1,0,33846,260,360,1,1
1,1,1,0,3625,108,360,1,0
0,1,1,1,39147,120,360,1,1
0,1,1,1,2178,66,300,0,0
0,1,1,0,2383,58,360,1,0
1,1,1,1,674,168,360,1,0
0,1,1,0,9328,188,180,1,0
0,0,0,0,4885,48,360,1,0
0,0,1,0,12000,164,360,1,0
0,1,0,0,6033,160,360,1,1
0,0,1,0,3858,76,360,1,0
0,0,1,0,4191,120,360,1,0
0,1,1,0,3125,170,360,1,0
0,0,1,0,8333,187,360,1,0
1,0,0,0,1907,120,360,1,1
1,1,1,0,3416,113,360,1,0
0,0,1,1,11000,83,360,1,1
0,1,0,0,2600,90,360,1,1
0,0,1,0,4923,166,360,0,1
0,1,0,0,3992,478,180,1,1
0,1,0,0,3500,135,360,1,1
0,1,0,0,3917,124,360,1,1
1,0,0,0,4408,120,360,1,1
1,0,1,0,3244,80,360,1,1
0,0,0,0,3975,55,360,1,0
0,0,1,0,2479,59,360,1,1
0,0,1,0,3418,127,360,1,0
1,0,1,0,10000,214,360,1,0
0,1,1,0,3430,128,360,0,0
0,1,1,1,7787,240,360,1,1
0,1,0,1,5703,130,360,1,0
0,1,1,0,3173,137,360,1,1
0,1,0,0,3850,100,360,1,1
0,1,1,0,150,135,360,1,0
0,1,1,0,3727,131,360,1,0
0,1,1,0,5000,72,360,0,0
1,1,1,0,4283,127,360,1,1
0,1,1,0,2221,60,360,0,1
0,1,1,0,4009,116,360,1,1
0,0,1,0,2971,144,360,1,0
0,1,1,0,7578,175,240,1,0
0,1,1,0,6250,128,360,1,1
0,1,1,0,3250,170,360,1,0
0,1,0,1,4735,138,360,1,1
0,1,1,0,6250,210,360,1,0
0,0,1,0,4758,158,480,1,0
0,0,1,1,6400,200,360,1,0
0,1,1,0,2491,104,360,1,1
0,1,1,0,3716,42,180,1,0
0,0,0,0,3189,120,60,1,0
1,0,1,0,8333,280,360,1,0
0,1,1,0,3155,140,360,1,1
0,1,1,0,5500,170,360,1,0
0,1,1,1,5746,255,360,1,1
1,0,1,1,3463,122,360,1,1
1,0,1,0,3812,112,360,1,0
0,1,1,0,3315,96,360,1,0
0,1,1,0,5819,120,360,1,0
0,1,0,0,2510,140,180,1,1
